iter	Logloss
0	0.6785588941
1	0.6658021235
2	0.6543565945
3	0.643917278
4	0.6344420788
5	0.6260503171
6	0.6185132333
7	0.6116637642
8	0.605380042
9	0.5997445128
10	0.5945943491
11	0.5900293486
12	0.5860364366
13	0.5824957564
14	0.5791706237
15	0.5760475624
16	0.5726709938
17	0.5698430657
18	0.5662310264
19	0.5638963668
20	0.5616253364
21	0.5592691988
22	0.5574242713
23	0.5553513827
24	0.5533377884
25	0.5514524134
26	0.5495104156
27	0.5478319069
28	0.546317241
29	0.5447505074
30	0.5434707201
31	0.5422935365
32	0.5405773165
33	0.5385806595
34	0.5375336372
35	0.5362539511
36	0.5347888896
37	0.5336969802
38	0.5325966195
39	0.531355643
40	0.5304940613
41	0.5296577724
42	0.5286583522
43	0.5278592735
44	0.5268518533
45	0.5256886127
46	0.5248585469
47	0.523927226
48	0.5228670015
49	0.5221278992
50	0.521446969
51	0.5202921519
52	0.5193577222
53	0.5185645681
54	0.5179130808
55	0.5171868043
56	0.5167677325
57	0.5162925199
58	0.5157850224
59	0.5151384507
60	0.5146186505
61	0.5141180718
62	0.5136652888
63	0.513130791
64	0.5127016186
65	0.5120492651
66	0.5115454196
67	0.5109490905
68	0.5104040887
69	0.5099401935
70	0.5094545614
71	0.5090122759
72	0.5083012328
73	0.5076088702
74	0.5070628611
75	0.5065768273
76	0.5062231026
77	0.5058018747
78	0.5051476433
79	0.5045722959
80	0.5042029488
81	0.5039415189
82	0.503384638
83	0.5030691077
84	0.5025956043
85	0.5020975615
86	0.5016827013
87	0.5010523937
88	0.5006811134
89	0.5003285044
90	0.5000012574
91	0.4996863218
92	0.4992978085
93	0.498872226
94	0.4984895351
95	0.4981316972
96	0.497840708
97	0.4975305918
98	0.4971164956
99	0.4968406061
100	0.4965482967
101	0.4959935898
102	0.4956745828
103	0.4953427937
104	0.4950257197
105	0.4948412947
106	0.494576766
107	0.4941855315
108	0.4937759759
109	0.4935360608
110	0.4932949055
111	0.4931276698
112	0.4929307915
113	0.4927210603
114	0.4925046521
115	0.4922570712
116	0.4917809105
117	0.491326579
118	0.4910744446
119	0.4908498236
120	0.4906401311
121	0.4904624397
122	0.4900642454
123	0.4896516135
124	0.4894937763
125	0.4891181609
126	0.4889271405
127	0.4887580778
128	0.4884633992
129	0.4883189761
130	0.4881504919
131	0.4879775154
132	0.4877727852
133	0.487368641
134	0.487124116
135	0.4869160758
136	0.4866016348
137	0.4863466499
138	0.4861756923
139	0.48597724
140	0.4857815276
141	0.4855431952
142	0.4853368464
143	0.4851459777
144	0.4849210096
145	0.4847692887
146	0.4844781735
147	0.4843574663
148	0.4841912428
149	0.4840321557
150	0.4838883356
151	0.4836623552
152	0.4835195106
153	0.4832883775
154	0.4830648148
155	0.4828383589
156	0.4826735122
157	0.4823604214
158	0.4821537433
159	0.4819516238
160	0.4817578265
161	0.4816312467
162	0.4814898585
163	0.4813687298
164	0.4812324482
165	0.4810904296
166	0.4807659651
167	0.4805072643
168	0.4802819075
169	0.4801574082
170	0.4799535451
171	0.4798009118
172	0.4796211458
173	0.4794925303
174	0.4793592289
175	0.4792342053
176	0.4790602886
177	0.4788721201
178	0.4787203987
179	0.478628806
180	0.4784793928
181	0.4783346137
182	0.4781640176
183	0.4780196224
184	0.4778518095
185	0.477690466
186	0.47750184
187	0.477375642
188	0.4772084827
189	0.4770960209
190	0.4769703095
191	0.4768807243
192	0.4767669812
193	0.4766669004
194	0.4765416486
195	0.4763640852
196	0.4762548845
197	0.4761458641
198	0.4759206424
199	0.4757706992
200	0.4756284097
201	0.4755020949
202	0.4753647213
203	0.4752476728
204	0.4751455017
205	0.4749695159
206	0.474814422
207	0.4746853198
208	0.4746081796
209	0.4745452875
210	0.4744573534
211	0.4743556767
212	0.4741685884
213	0.4740703351
214	0.4739055151
215	0.4737941708
216	0.4736995192
217	0.4735479808
218	0.47343747
219	0.4733421857
220	0.4732324618
221	0.4730363881
222	0.4729256465
223	0.4727740443
224	0.4726299321
225	0.4724772259
226	0.4724091461
227	0.4723433985
228	0.4722905958
229	0.4721773782
230	0.4720501393
231	0.4719318691
232	0.4717803721
233	0.4716614781
234	0.4715987877
235	0.4714990718
236	0.4713837767
237	0.4712619645
238	0.471162171
239	0.4710903214
240	0.471030349
241	0.4709170948
242	0.4707912039
243	0.4707082989
244	0.4706353139
245	0.4704865557
246	0.4703702645
247	0.4702540735
248	0.4701848638
249	0.4700996658
250	0.4699915747
251	0.4698422783
252	0.4697442392
253	0.4696249871
254	0.4695660443
255	0.4694705164
256	0.4693768979
257	0.4691681984
258	0.4690992654
259	0.4690169373
260	0.4689252044
261	0.468823021
262	0.4687432639
263	0.4686429794
264	0.4685842499
265	0.4684823765
266	0.4684045679
267	0.4683431803
268	0.4683013486
269	0.4682202136
270	0.4681004961
271	0.4679899958
272	0.4678530925
273	0.4677563113
274	0.4676439087
275	0.4675436058
276	0.4674461591
277	0.4674116001
278	0.4673205477
279	0.467229024
280	0.4671222772
281	0.4670804348
282	0.4669470553
283	0.4668780046
284	0.4668205706
285	0.4667289389
286	0.4666887318
287	0.4666055442
288	0.4665067159
289	0.4664471595
290	0.4663785902
291	0.4663269109
292	0.466261288
293	0.4662142715
294	0.4661410356
295	0.4660529553
296	0.4659544321
297	0.4658798432
298	0.465801004
299	0.4657342657
300	0.4656355186
301	0.4655388341
302	0.4654749337
303	0.4653895779
304	0.4653169658
305	0.4652366761
306	0.4651652993
307	0.4651136998
308	0.4650223625
309	0.4649530806
310	0.4648491116
311	0.4647523553
312	0.4646417222
313	0.4645564309
314	0.4644579838
315	0.4643858193
316	0.4642968525
317	0.4642502387
318	0.4641768976
319	0.4641167476
320	0.4640721762
321	0.4639824214
322	0.4639385795
323	0.4638929693
324	0.4638234679
325	0.463736593
326	0.4636686165
327	0.4635087466
328	0.4634620417
329	0.463408997
330	0.4633024652
331	0.4632326428
332	0.4631401122
333	0.4630885149
334	0.4630367541
335	0.4629950324
336	0.4629378961
337	0.4628592474
338	0.4627906369
339	0.4626539961
340	0.4625985975
341	0.4625403435
342	0.4625017205
343	0.4624436231
344	0.4623548773
345	0.4622981323
346	0.4622641737
347	0.462192662
348	0.4621176107
349	0.4620513885
350	0.4619678637
351	0.4618687481
352	0.4618103454
353	0.4617382827
354	0.461668867
355	0.4616296743
356	0.4615639589
357	0.4614588741
358	0.4613967017
359	0.4612995936
360	0.4612234304
361	0.4611754213
362	0.4611148632
363	0.4610523383
364	0.4609938776
365	0.4609449428
366	0.4608465392
367	0.4608053773
368	0.4607354942
369	0.4606482892
370	0.460585067
371	0.4605310166
372	0.4604604057
373	0.4603983609
374	0.4603528773
375	0.4602936494
376	0.4602436194
377	0.4601689292
378	0.460120375
379	0.4600592072
380	0.4600060141
381	0.4599020653
382	0.4598124842
383	0.4597697692
384	0.4597012728
385	0.4596081553
386	0.4595319586
387	0.4594771277
388	0.4594082887
389	0.4593510677
390	0.4592268639
391	0.4591662085
392	0.4591188155
393	0.4590544331
394	0.4590177512
395	0.4589605687
396	0.4589180456
397	0.458842329
398	0.4588061587
399	0.4587560684
400	0.4587000492
401	0.458654868
402	0.4585690099
403	0.4585109021
404	0.4584598677
405	0.4584220963
406	0.4583599584
407	0.4583193965
408	0.4582646067
409	0.4581792647
410	0.4581431384
411	0.4580803295
412	0.4580306226
413	0.457969733
414	0.4579126554
415	0.4578644362
416	0.4578090481
417	0.4577462075
418	0.4576873799
419	0.457626305
420	0.4575824923
421	0.4575121143
422	0.4574528908
423	0.457416188
424	0.4573767229
425	0.4573383297
426	0.4573056588
427	0.4572660623
428	0.4571897232
429	0.4571454117
430	0.4570965093
431	0.4570249921
432	0.4569838451
433	0.4569300346
434	0.4568657401
435	0.4568155026
436	0.4567773749
437	0.4567345522
438	0.4567022851
439	0.4566101369
440	0.4565564286
441	0.4565077434
442	0.4564801134
443	0.4564211817
444	0.4563044762
445	0.4562706057
446	0.4562284049
447	0.4561939416
448	0.4561462836
449	0.4560924826
450	0.4560629765
451	0.4560151184
452	0.4559525326
453	0.4558958212
454	0.4558329572
455	0.4557802257
456	0.4557128775
457	0.4556782887
458	0.4556444431
459	0.4556050225
460	0.4555457166
461	0.4554921131
462	0.4554398018
463	0.4553902948
464	0.4553399503
465	0.4553105213
466	0.455240971
467	0.45516042
468	0.4551164968
469	0.4550817498
470	0.4550347526
471	0.4550067249
472	0.4549702546
473	0.454924877
474	0.4548798504
475	0.4548452675
476	0.4548229815
477	0.4547910406
478	0.4547570629
479	0.4547318677
480	0.4547059377
481	0.4546556087
482	0.4546291786
483	0.4545772618
484	0.4545388249
485	0.4545136794
486	0.4544829747
487	0.4544316747
488	0.4543505025
489	0.4543077943
490	0.4542723742
491	0.4542402223
492	0.4542176905
493	0.4541838904
494	0.4541580851
495	0.4541229631
496	0.4540961068
497	0.454059901
498	0.4540247583
499	0.4539784895
500	0.4539201156
501	0.4538915733
502	0.4538398884
503	0.4538145673
504	0.4537725689
505	0.453742997
506	0.4536971851
507	0.4536664593
508	0.4536353146
509	0.4536116298
510	0.4535494428
511	0.4535247518
512	0.4534871134
513	0.4534296413
514	0.4533684295
515	0.4533423178
516	0.4533194723
517	0.4532809659
518	0.4532439018
519	0.4532222154
520	0.4531790804
521	0.4531199609
522	0.453094111
523	0.4530674896
524	0.4530446818
525	0.4530174143
526	0.4529826886
527	0.4529375274
528	0.4528968663
529	0.4528400469
530	0.4528100415
531	0.4527650892
532	0.4527358249
533	0.452687201
534	0.452649227
535	0.4525950601
536	0.4525515883
537	0.4525173815
538	0.4524926987
539	0.4524595849
540	0.4524401845
541	0.4524094543
542	0.4523704532
543	0.4523230979
544	0.4522882668
545	0.4522232063
546	0.4521958781
547	0.4521658275
548	0.4520978366
549	0.4520715641
550	0.4520257768
551	0.4519960777
552	0.4519181948
553	0.4518837413
554	0.4518434876
555	0.4517976418
556	0.4517618733
557	0.4516998386
558	0.4516755881
559	0.4516535297
560	0.4516275857
561	0.4515733896
562	0.4515356067
563	0.4514934951
564	0.4514694585
565	0.4514414512
566	0.4514182009
567	0.451357942
568	0.4513069398
569	0.4512848441
570	0.4512471387
571	0.451220033
572	0.4511908484
573	0.4511474802
574	0.4511119556
575	0.4510638381
576	0.4510393864
577	0.4509874627
578	0.4509678879
579	0.4509185147
580	0.4508848259
581	0.4508000582
582	0.4507529162
583	0.450712518
584	0.4506781545
585	0.4506327854
586	0.4505987387
587	0.4505630954
588	0.4505243838
589	0.4504818063
590	0.4504601357
591	0.4504393095
592	0.450404155
593	0.4503703334
594	0.4503449245
595	0.4502946424
596	0.4502735918
597	0.4502375271
598	0.4502181769
599	0.4501867723
600	0.4501518273
601	0.4501164465
602	0.4500855005
603	0.4500463926
604	0.4500254209
605	0.4500083452
606	0.4499686611
607	0.4499385724
608	0.4499099044
609	0.449891956
610	0.4498629574
611	0.4498357888
612	0.4498100571
613	0.4497926725
614	0.4497691448
615	0.4497407639
616	0.449701677
617	0.4496744614
618	0.4496521043
619	0.4496188386
620	0.4495798132
621	0.4495527699
622	0.4495094074
623	0.449478546
624	0.4494500927
625	0.4494277534
626	0.4493975436
627	0.4493691614
628	0.4493417439
629	0.4492965946
630	0.4492716583
631	0.4492446124
632	0.449226252
633	0.4491842376
634	0.4491613306
635	0.449124717
636	0.4491018142
637	0.4490711409
638	0.449039096
639	0.4489988246
640	0.4489754129
641	0.448925913
642	0.4488996999
643	0.4488667422
644	0.4488179485
645	0.4487875013
646	0.4487632401
647	0.4487332594
648	0.4487142713
649	0.4486848613
650	0.4486344965
651	0.448614355
652	0.4485962307
653	0.4485603469
654	0.4485254362
655	0.4485019371
656	0.4484836268
657	0.4484497614
658	0.4484306155
659	0.4484019234
660	0.4483678455
661	0.4483259088
662	0.4482825023
663	0.4482580033
664	0.4482095658
665	0.4481743967
666	0.4481469784
667	0.448114403
668	0.4480865347
669	0.4480675004
670	0.4480497724
671	0.448027241
672	0.4480035623
673	0.4479735573
674	0.4479355924
675	0.4478779876
676	0.4478372926
677	0.4478165496
678	0.4477666414
679	0.4477265647
680	0.4477036846
681	0.4476819062
682	0.4476062778
683	0.447579077
684	0.4475602403
685	0.4475285135
686	0.447507522
687	0.4474881105
688	0.4474681127
689	0.4474440097
690	0.4474082014
691	0.4473962434
692	0.4473778038
693	0.447341578
694	0.4473167613
695	0.4472994297
696	0.4472747117
697	0.4472449865
698	0.4472156147
699	0.4471978346
700	0.4471698744
701	0.4471435991
702	0.4471168811
703	0.4470944164
704	0.4470528644
705	0.4470322838
706	0.4470086413
707	0.4469726541
708	0.4469554186
709	0.4469273482
710	0.4469119671
711	0.4468979881
712	0.4468805565
713	0.4468520837
714	0.4468148212
715	0.4467969971
716	0.4467636929
717	0.4467388755
718	0.446725394
719	0.4467049508
720	0.4466649652
721	0.4466178778
722	0.4465821752
723	0.446543601
724	0.4465111746
725	0.4464931407
726	0.44644308
727	0.4464104
728	0.4463893837
729	0.4463735547
730	0.4463486165
731	0.4463321718
732	0.446304763
733	0.44627384
734	0.4462295079
735	0.4462042004
736	0.4461846684
737	0.4461678985
738	0.4461380334
739	0.4460827739
740	0.446061568
741	0.4460324901
742	0.4460170596
743	0.4459863016
744	0.4459551261
745	0.4459304001
746	0.4458855822
747	0.4458705284
748	0.4458428744
749	0.4458274216
750	0.4458039245
751	0.4457872165
752	0.4457465355
753	0.4457095203
754	0.4456854115
755	0.4456456401
756	0.4456244952
757	0.4456009064
758	0.445586025
759	0.445541
760	0.4455295337
761	0.4455048439
762	0.445488802
763	0.445460089
764	0.4454455022
765	0.4454081442
766	0.4453647909
767	0.4453477574
768	0.4453256226
769	0.4452970188
770	0.445275578
771	0.4452240399
772	0.4452065854
773	0.4451808802
774	0.445142708
775	0.4451233111
776	0.445099314
777	0.4450727041
778	0.4450592418
779	0.4450084377
